日付,到着時刻,定刻,遅延(分),状況,系統,バス停名,ナンバー,バス会社
2026/08/02,11:50,,,定刻不明,89,糸満市役所入口（那覇・米須・高嶺向け）,沖縄200か1691,琉球バス交通
2026/08/02,11:50,,,定刻不明,89,豊見城南高校前（那覇バスターミナル向け）,沖縄200か1590,琉球バス交通
2026/08/02,11:50,,,定刻不明,89,小禄駅前（那覇バスターミナル向け）,沖縄230あ 1365,沖縄バス
2026/08/02,11:50,,,定刻不明,89,那覇西高校前（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
2026/08/02,11:50,,,定刻不明,89,那覇バスターミナル　おりば G,沖縄230あ 1363 ,沖縄バス
2026/08/02,11:51,,,定刻不明,89,糸満市場入口（那覇・米須・高嶺向け）,沖縄200か1691,琉球バス交通
2026/08/02,11:51,,,定刻不明,89,金城（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
2026/08/02,11:52,,,定刻不明,89,田原（那覇バスターミナル向け）,沖縄230あ 1365,沖縄バス
2026/08/02,11:52,,,定刻不明,89,糸満ロータリー（那覇・沖水向け）,沖縄200か1691,琉球バス交通
2026/08/02,11:52,,,定刻不明,89,与根入口（那覇バスターミナル向け）,沖縄200か1590,琉球バス交通
2026/08/02,11:53,,,定刻不明,89,那覇西高校前（那覇バスターミナル向け）,沖縄230あ 1365,沖縄バス
2026/08/02,11:54,,,定刻不明,89,糸満入口（那覇・沖水向け）,沖縄200か1691,琉球バス交通
2026/08/02,11:54,,,定刻不明,89,座安入口（那覇バスターミナル向け）,沖縄200か1590,琉球バス交通
2026/08/02,11:54,,,定刻不明,89,軍桟橋前（那覇空港→旭橋方面）,沖縄200か908,琉球バス交通
2026/08/02,11:54,,,定刻不明,89,伊良波（那覇バスターミナル向け）,沖縄200か1590,琉球バス交通
2026/08/02,11:54,,,定刻不明,89,金城（那覇バスターミナル向け）,沖縄230あ 1365,沖縄バス
2026/08/02,11:54,,,定刻不明,89,公園前（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
2026/08/02,11:56,,,定刻不明,89,我那覇（那覇方面）,沖縄200か1590,琉球バス交通
2026/08/02,11:56,,,定刻不明,89,軍桟橋前（那覇空港→旭橋方面）,沖縄230あ 1365,沖縄バス
2026/08/02,11:57,,,定刻不明,89,西崎入口（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/02,11:57,,,定刻不明,89,旭橋・那覇バスターミナル　のりば１０,沖縄200か908,琉球バス交通
2026/08/02,11:58,,,定刻不明,89,潮平（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/02,11:58,,,定刻不明,89,公園前（那覇バスターミナル向け）,沖縄230あ 1365,沖縄バス
2026/08/02,11:58,,,定刻不明,89,旭町（開南・国場向け）,沖縄200か908,琉球バス交通
2026/08/02,12:00,,,定刻不明,89,西壷川（開南・国場向け）,沖縄200か908,琉球バス交通
2026/08/02,12:01,,,定刻不明,89,阿波根（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/02,12:01,,,定刻不明,89,名嘉地（那覇バスターミナル向け）,沖縄200か1590,琉球バス交通
2026/08/02,12:01,,,定刻不明,89,壺川（開南・国場向け）,沖縄200か908,琉球バス交通
2026/08/02,12:02,,,定刻不明,89,翁長（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/02,12:02,,,定刻不明,89,翁長入口（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/02,12:02,,,定刻不明,89,旭橋・那覇バスターミナル　のりば１０,沖縄200か 930,沖縄バス
2026/08/02,12:03,,,定刻不明,89,豊見城南高校前（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/02,12:04,,,定刻不明,89,高良（那覇バスターミナル向け）,沖縄200か1590,琉球バス交通
2026/08/02,12:04,,,定刻不明,89,農協会館前（那覇バスターミナル向け）,沖縄200か908,琉球バス交通
