stop_id,stop_order,stop_name
89001,1,糸満バスターミナル
89002,2,糸満市役所入口
89003,3,糸満市場入口
89004,4,糸満ロータリー
89005,5,糸満西区
89006,6,白銀堂前
89007,7,糸満入口
89008,8,西崎入口
89009,9,西崎小学校入口
89010,10,工業団地入口
89011,11,西崎二丁目
89012,12,西崎第二団地前
89013,13,西崎運動公園前
89014,14,西崎中学校入口
89015,15,西崎入口
89016,16,潮平
89017,17,阿波根
89018,18,翁長
89019,19,翁長入口
89020,20,豊見城南高校前
89021,21,与根入口
89022,22,座安入口
89023,23,伊良波
89024,24,我那覇
89025,25,名嘉地
89026,26,高良
89027,27,宇栄原入口
89028,28,新町入口
89029,29,第二ゲート
89030,30,赤嶺駅前
89031,31,赤嶺安里原
89032,32,小禄駅前
89033,33,田原
89034,34,那覇西高校前
89035,35,航空隊前
89036,36,金城
89037,37,軍桟橋前
89038,38,公園前
89039,39,那覇バスターミナル
89040,40,旭町
89041,41,西壺川
89042,42,壺川
89043,43,農協会館前
89044,44,与儀小学校前
89045,45,与儀十字路
89046,46,開南
89047,47,那覇高校前
89048,48,県庁南口
89049,49,上泉
89050,50,那覇バスターミナル
