column_index,column_name,trip_no,trip_id,route_id,direction,start_time
3,col_3,1,89_up_001,89_up,up,06:00
4,col_4,2,89_up_002,89_up,up,06:15
5,col_5,3,89_up_003,89_up,up,06:20
6,col_6,4,89_up_004,89_up,up,06:35
7,col_7,5,89_up_005,89_up,up,06:50
8,col_8,6,89_up_006,89_up,up,07:05
9,col_9,7,89_up_007,89_up,up,07:10
10,col_10,8,89_up_008,89_up,up,07:25
11,col_11,9,89_up_009,89_up,up,07:40
12,col_12,10,89_up_010,89_up,up,07:55
13,col_13,11,89_up_011,89_up,up,08:10
14,col_14,12,89_up_012,89_up,up,08:30
15,col_15,13,89_up_013,89_up,up,08:50
16,col_16,14,89_up_014,89_up,up,09:15
17,col_17,15,89_up_015,89_up,up,09:40
18,col_18,16,89_up_016,89_up,up,09:55
19,col_19,17,89_up_017,89_up,up,10:10
20,col_20,18,89_up_018,89_up,up,10:25
21,col_21,19,89_up_019,89_up,up,10:40
22,col_22,20,89_up_020,89_up,up,10:55
23,col_23,21,89_up_021,89_up,up,11:10
24,col_24,22,89_up_022,89_up,up,11:25
25,col_25,23,89_up_023,89_up,up,11:35
26,col_26,24,89_up_024,89_up,up,11:50
27,col_27,25,89_up_025,89_up,up,12:20
28,col_28,26,89_up_026,89_up,up,12:45
29,col_29,27,89_up_027,89_up,up,13:05
30,col_30,28,89_up_028,89_up,up,13:25
31,col_31,29,89_up_029,89_up,up,13:45
32,col_32,30,89_up_030,89_up,up,14:05
33,col_33,31,89_up_031,89_up,up,14:25
34,col_34,32,89_up_032,89_up,up,14:40
35,col_35,33,89_up_033,89_up,up,14:55
36,col_36,34,89_up_034,89_up,up,15:15
37,col_37,35,89_up_035,89_up,up,15:35
38,col_38,36,89_up_036,89_up,up,15:55
39,col_39,37,89_up_037,89_up,up,16:10
40,col_40,38,89_up_038,89_up,up,16:30
41,col_41,39,89_up_039,89_up,up,16:45
42,col_42,40,89_up_040,89_up,up,17:05
43,col_43,41,89_up_041,89_up,up,17:25
44,col_44,42,89_up_042,89_up,up,17:45
45,col_45,43,89_up_043,89_up,up,18:05
46,col_46,44,89_up_044,89_up,up,18:30
47,col_47,45,89_up_045,89_up,up,18:55
48,col_48,46,89_up_046,89_up,up,19:20
49,col_49,47,89_up_047,89_up,up,19:45
50,col_50,48,89_up_048,89_up,up,20:10
